"ConflictId","Year","GWNoA","Incompatibility","n_rebels","n_conflicts","maxint","new.joiner","new.alliance","new.splinter","latentmean","mtnest","oil.fearon","oil.pc.exports","oilpc","ethfrac","relfrac","country_ethnic","country_excluded","pop","area","rgdppc","polity2","mediation","external_supporters","lootable","tot.resource.sites","BdBest","existing.support","cont_civil","new.multi.alliance","new.mono.alliance","latentmean_lag","latentmean_lag2","lagged_rebels","oilpc_lag","oil.pc.exports_lag","lag_conflicts","latentmean_diff","lgdp","lpop","larea","yearf","new_conflict","multireb","postcw","conflictfe"
"1-1",1946,"145","government",1,1,2,0,0,0,NA,35.8999977111816,0,NA,NA,0.678132951259613,0.0950000286102295,4,3,NA,NA,NA,-5,0,NA,1,53,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1946",NA,NA,0,"1-1"
"1-1",1952,"145","government",1,1,1,0,0,0,0.60158463936229,35.8999977111816,0,NA,NA,0.678132951259613,0.0950000286102295,4,3,2797.31,NA,2848.54,-4,0,NA,1,53,NA,NA,0,0,0,NA,NA,1,NA,NA,1,NA,7.95456186130035,7.93641352009583,NA,"1952",0,0,0,"1-1"
"1-1",1967,"145","government",1,1,1,0,0,0,0.284229884271351,35.8999977111816,0,13.7562148508282,NA,0.678132951259613,0.0950000286102295,4,3,3920.13,1083300,2841.57,-4,0,NA,1,53,NA,NA,0,0,0,0.60158463936229,NA,1,NA,NA,1,NA,7.95211199530969,8.27388009549993,13.8955224959337,"1967",0,0,0,"1-1"
"1-10",1946,"840","government",1,1,2,0,0,0,NA,21.2999973297119,0,NA,NA,0.745177149772644,0.299600005149841,4,3,NA,NA,NA,2,0,NA,1,33,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1946",NA,NA,0,"1-10"
"1-10",1947,"840","government",1,1,2,0,0,0,NA,21.2999973297119,0,NA,NA,0.745177149772644,0.299600005149841,4,3,NA,NA,NA,2,0,NA,1,33,NA,NA,NA,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"1947",0,0,0,"1-10"
"1-10",1948,"840","government",1,1,2,0,0,0,NA,21.2999973297119,0,NA,NA,0.745177149772644,0.299600005149841,4,3,NA,NA,NA,2,0,NA,1,33,NA,NA,NA,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"1948",0,0,0,"1-10"
"1-10",1949,"840","government",1,1,2,0,0,0,0.109597622867705,21.2999973297119,0,NA,NA,0.745177149772644,0.299600005149841,4,3,NA,NA,NA,2,0,NA,1,33,NA,NA,NA,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"1949",0,0,0,"1-10"
"1-10",1950,"840","government",1,1,2,0,0,0,0.102333957727466,21.2999973297119,0,NA,NA,0.745177149772644,0.299600005149841,4,3,19405.73,NA,1199.19,5,0,NA,1,33,NA,NA,NA,0,0,0.109597622867705,NA,1,NA,NA,1,NA,7.08940160786102,9.87332366226574,NA,"1950",0,0,0,"1-10"
"1-10",1951,"840","government",1,1,2,0,0,0,0.0824023392532968,21.2999973297119,0,NA,NA,0.745177149772644,0.299600005149841,4,3,19997.05,NA,1199.58,5,0,NA,1,33,NA,NA,NA,0,0,0.102333957727466,0.109597622867705,1,NA,NA,1,-0.007263665140239,7.0897267745118,9.90334004165693,NA,"1951",0,0,0,"1-10"
"1-10",1952,"840","government",1,1,2,0,0,0,0.120028976915233,21.2999973297119,0,NA,NA,0.745177149772644,0.299600005149841,4,3,20606.39,NA,1268.23,5,0,NA,1,33,NA,NA,NA,0,0,0.0824023392532968,0.102333957727466,1,NA,NA,1,-0.0199316184741692,7.14537750656097,9.93335650085216,NA,"1952",0,0,0,"1-10"
