"DyadId","ConflictId","Year","Location","GWNoLoc","SideA","GWNoA","SideA2nd","GWNoA2nd","SideB","SideBID","SideB2nd","Incompatibility","TerritoryName","IntensityLevel","TypeOfConflict","rebel_age","origin","origin.name","parent.org.subset","splinter.source","ideology","extraterritorial","rebpolwing","rebpolwinglegal","rebestimate","rebestlow","rebesthigh","rebstrength","centcontrol","strengthcent","mobcap","armsproc","fightcap","terrcont","terrname","effterrcont","conflicttype","transconstsupp","rebextpart","rebpresosts","presname","rebel.support","rtypesup","rsupname","gov.support","gtypesup","gsupname","govextpart","type.of.termination","prevactive","rebpolwing_bin","transconstsupp_bin","rebextpart_bin","rebpresosts_bin","rebel.support_bin","gov.support_bin","govextpart_bin","conflicttype_recode","duration","tot_eth","tot_eth_countries","eth_claim","eth_recruitment","eth_support","excluded","power_sharing","absolute","reg_aut","upgrade","downgrade","maxsize","minsize","new_ep","monoeth","multieth","noneth","new.joiner","new.splinter","new.alliance","new.mono.alliance","new.multi.alliance","splinter","alliance","joiner","originator","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","additive","latentmean","latentsd","mtnest","Oil","ethfrac","relfrac","country_ethnic","country_excluded","oilpc","oil.pc.exports","pop","realgdp","rgdppc","area","polity2","mediation","cont_interstate","cont_civil","cont_maxint","external_supporters","loot.dia","loot.gem","loot.gold","loot.oil","loot.drugs","lootable","tot.resource.sites","BdBest"
1,"1-191",1992,"Algeria","615","Government of Algeria",615,"","","AIS",1389,"","government","",1,"internal",0,"political organization","AIS",0,0,"Islamic State",0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,4,4,3,NA,0,NA,NA,NA,0,2,-1.07701796838515,0.208832767684299,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,13436.2060656755,95.8541191930733,26254,115831.48,4411.96,2381740,-7,0,0,1,1,0,1,0,1,1,0,1,18,257
1,"1-191",1993,"Algeria","615","Government of Algeria",615,"","","AIS",1389,"","government","",1,"internal",1,"political organization","AIS",0,0,"Islamic State",0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,5,5,NA,0,NA,NA,NA,0,2,-1.43936972480984,0.220251973855713,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,12035.3064017716,95.2402296683673,26894,99965.8,3717.03,2381740,-7,0,0,0,-Inf,0,1,0,1,1,0,1,18,775
1,"1-191",1994,"Algeria","615","Government of Algeria",615,"","","AIS",1389,"","government","",2,"internal",2,"political organization","AIS",0,0,"Islamic State",0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,5,5,NA,0,NA,NA,NA,0,2,-1.6660063140071,0.227954330819252,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,10637.5691283416,96.5574164877248,27496,99083.31,3603.55,2381740,-7,0,0,2,1,1,1,0,1,1,0,1,18,1346
1,"1-191",1995,"Algeria","615","Government of Algeria",615,"","","AIS",1389,"","government","",1,"internal",3,"political organization","AIS",0,0,"Islamic State",0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,6,0,NA,NA,NA,0,0,-1.81098646832313,0.229428976896281,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,11665.9324824727,94.5567456239932,28060,102940.77,3668.59,2381740,-3,0,0,1,1,2,1,0,1,1,0,1,18,25
1,"1-191",1996,"Algeria","615","Government of Algeria",615,"","","AIS",1389,"","government","",1,"internal",4,"political organization","AIS",0,0,"Islamic State",0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,5,5,5,5,0,NA,NA,NA,0,3,-1.7215541942125,0.223199990244922,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,17351.166330528,92.0511179726995,28566,106813.17,3739.17,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,25
1,"1-191",1997,"Algeria","615","Government of Algeria",615,"","","AIS",1389,"","government","",1,"internal",5,"political organization","AIS",0,0,"Islamic State",0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,0,NA,NA,NA,0,0,-1.77221259474856,0.227056592632754,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,15085.4422896666,96.3196540806339,29050,108019.91,3718.41,2381740,-3,0,0,1,1,0,1,0,1,1,0,1,18,40
2,"1-191",1991,"Algeria","615","Government of Algeria",615,"","","Takfir wa'l Hijra",1388,"","government","",1,"internal",0,"religious organization","",0,0,"Islamic State",0,"no",NA,NA,NA,NA,"much weaker",NA,NA,"moderate","low","low","no",NA,NA,"civil war","tacit","no","no","","no",NA,"","no",NA,"","no","low activity",0,0,1,0,0,0,0,0,"civil war",376,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,3,3,3,NA,0,NA,NA,NA,0,4,-0.588629693570438,0.20334764466263,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,15556.3560149427,96.8838245439323,25680,113340.69,4413.58,2381740,-2,0,0,1,1,0,1,0,1,1,0,1,18,34
3,"1-191",1993,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",1,"internal",0,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,4,5,5,NA,0,NA,NA,NA,0,2,-1.43936972480984,0.220251973855713,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,12035.3064017716,95.2402296683673,26894,99965.8,3717.03,2381740,-7,0,0,0,-Inf,1,1,0,1,1,0,1,18,25
3,"1-191",1994,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",1,"internal",1,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,5,5,NA,0,NA,NA,NA,0,2,-1.6660063140071,0.227954330819252,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,10637.5691283416,96.5574164877248,27496,99083.31,3603.55,2381740,-7,0,0,2,1,1,1,0,1,1,0,1,18,570
3,"1-191",1995,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",2,"internal",2,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,6,0,NA,NA,NA,0,0,-1.81098646832313,0.229428976896281,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,11665.9324824727,94.5567456239932,28060,102940.77,3668.59,2381740,-3,0,0,1,1,1,1,0,1,1,0,1,18,2983
