"SideBID","DyadId","ConflictId","Year","Location","GWNoLoc","SideA","GWNoA","SideA2nd","GWNoA2nd","SideB","SideB2nd","Incompatibility","TerritoryName","IntensityLevel","TypeOfConflict","rebel_age","origin","origin.name","parent.org.subset","splinter.source","ideology","delete","extraterritorial","rebpolwing","rebpolwinglegal","rebestimate","rebestlow","rebesthigh","rebstrength","centcontrol","strengthcent","mobcap","armsproc","fightcap","terrcont","terrname","effterrcont","conflicttype","transconstsupp","rebextpart","rebpresosts","presname","rebel.support","rtypesup","rsupname","gov.support","gtypesup","gsupname","govextpart","type.of.termination","prevactive","rebpolwing_bin","transconstsupp_bin","rebextpart_bin","rebpresosts_bin","rebel.support_bin","gov.support_bin","govextpart_bin","conflicttype_recode","duration","tot_eth","tot_eth_countries","eth_claim","eth_recruitment","eth_support","excluded","power_sharing","absolute","reg_aut","upgrade","downgrade","maxsize","minsize","monoeth","multieth","noneth","lag_year","new.ep1","new.joiner","new.splinter","new.alliance","new.mono.alliance","new.multi.alliance","splinter","alliance","joiner","originator","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","additive","latentmean","latentsd","mtnest","Oil","ethfrac","relfrac","country_ethnic","country_excluded","oilpc","oil.pc.exports","pop","realgdp","rgdppc","area","polity2","mediation","cont_interstate","cont_civil","cont_maxint","external_supporters","loot.dia","loot.gem","loot.gold","loot.oil","loot.drugs","lootable","tot.resource.sites","BdBest"
1001,654,"1-2",1946,"Cambodia (Kampuchea)","811","Government of France",220,"","","Khmer Issarak","","territory","Cambodia",1,"extrasystemic",0,NA,NA,NA,NA,NA,NA,1,"alleged link","yes",6000,5000,7000,"weaker","yes","moderate","low","low","low","yes","parts of Cambodia bordering Vietnam","moderate","anti-colonial","no","major","extensive","Thailand; Vietnam",NA,"military","Thailand",NA,"military","USA","no","decolonization",0,1,0,1,1,NA,NA,0,"identity",2657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0,0.261046767234802,0.185800015926361,4,3,NA,NA,NA,NA,NA,NA,10,0,0,0,NA,NA,0,0,1,1,0,1,7,NA
1002,466,"1-3",1946,"China","710","Government of China",710,"","","PLA","","government","",2,"internal",0,"military faction","Chinese Army",1,0,"Communist",NA,0,NA,"no",1e+06,8e+05,1200000,"weaker","yes","high","high","moderate","moderate","yes","parts of Northwest China","high","communist rebellion","no","no","no","",NA,"military","USSR",NA,"military","USA","no","rebel victory",0,NA,0,0,0,NA,NA,0,"communist rebellion",1369,1,1,0,0,0,1,0,0,0,NA,NA,0.0019,0.0019,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4000015258789,0,0.118452370166779,0.550999999046326,35,35,NA,NA,NA,NA,NA,NA,-5,0,0,4,2,NA,1,1,1,1,1,1,99,NA
1003,467,"1-4",1946,"Greece","350","Government of Greece",350,"","","DSE","","government","",2,"internal",0,"political organization","DSE",1,0,"Communist",NA,0,NA,"no",23000,4000,28000,"weaker","yes","high","moderate","low","moderate","yes","northwestern Greece","moderate","communist rebellion","no","no","no","",NA,"military","Albania; Yugoslavia",NA,"military","UK; USA","no","government victory",0,NA,0,0,0,NA,NA,0,"communist rebellion",1325,2,1,0,2,2,1,0,1,0,NA,NA,0.96,0.013,0,1,0,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7999992370605,0,0.0986450910568237,0.0393999814987183,4,3,NA,NA,NA,NA,NA,NA,8,0,1,0,1,NA,0,0,1,0,0,1,2,NA
1004,657,"1-5",1946,"Indonesia","850","Government of Netherlands",210,"","","Indonesian People's Army","","territory","Indonesia",1,"extrasystemic",0,NA,NA,NA,NA,NA,NA,1,"explicit link","no",2e+05,2e+05,2e+05,"weaker","yes","moderate","high","low","moderate","yes","parts of Indonesia","moderate","anti-colonial","no","no","no","","no",NA,"",NA,"troops","UK; Japan ","no","decolonization",0,1,0,0,0,0,NA,0,"identity",1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.10196328163147,0.690999984741211,1,1,NA,NA,NA,NA,NA,NA,10,0,0,0,NA,NA,0,0,0,1,0,1,2,NA
1005,260,"1-6",1946,"Iran","630","Government of Iran",630,"","","KDPI","Government of Russia (Soviet Union)","territory","Kurdistan",1,"internationalized",0,"political organization","KDPI",1,0,"Secessionist",NA,0,"explicit link",NA,10000,10000,10000,"much weaker","yes","moderate","low","moderate","low","yes","Kurdistan","high","secessionist conflict","tacit","no","no","",NA,"troops","USSR",NA,"non-military","USA; UK","no","government victory",0,1,1,0,0,NA,NA,0,"identity",348,1,1,1,1,1,1,0,0,1,NA,NA,0.08,0.08,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3000030517578,1,0.756581664085388,0.197799980640411,11,10,NA,NA,NA,NA,NA,1628760,-1,1,0,4,2,NA,0,0,1,1,1,1,22,NA
1006,468,"1-7",1946,"Iran","630","Government of Iran",630,"","","Republic of Azerbaijan","Government of Russia (Soviet Union)","territory","Azerbaijan",1,"internationalized",0,NA,NA,NA,NA,NA,NA,0,"explicit link","yes",NA,NA,NA,"much weaker","yes","high","low","moderate","low","yes","Azerbaijan","high","secessionist conflict","tacit","no","no","",NA,"troops","USSR",NA,"non-military","USA; UK ","no","government victory",0,1,1,0,0,NA,NA,0,"identity",391,1,1,1,0,0,1,0,0,1,NA,NA,0.24,0.24,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3000030517578,1,0.756581664085388,0.197799980640411,11,10,NA,NA,NA,NA,NA,NA,-1,1,0,4,2,NA,0,0,1,1,1,1,22,NA
1007,665,"1-8",1946,"Israel","666","Government of United Kingdom",200,"","","IZL [Etzel]","","territory","Israel",1,"extrasystemic",0,NA,NA,NA,NA,NA,NA,1,"no",NA,1500,1500,5000,"weaker","yes","high","moderate","low","low","no",NA,NA,"anti-colonial","explicit","minor","no","",NA,"military","Poland","no",NA,"","no","low activity",0,0,1,1,0,NA,0,0,"identity",364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.800000011920929,0,0.325454533100128,0.61379998922348,7,5,NA,NA,NA,NA,NA,NA,10,0,0,0,NA,NA,0,1,0,1,0,1,5,NA
1008,666,"1-9",1946,"Laos","812","Government of France",220,"","","Lao Issara","","territory","Laos",1,"extrasystemic",0,NA,NA,NA,NA,NA,NA,1,"explicit link","no",NA,NA,NA,"much weaker","yes","moderate","low","low","low","no",NA,NA,"anti-colonial","no","major","extensive","Thailand",NA,"military","Thailand","no",NA,"","no","decolonization",0,1,0,1,1,NA,0,0,"identity",2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0,0.261046767234802,0.185800015926361,4,3,NA,NA,NA,NA,NA,NA,10,0,0,0,NA,NA,0,0,1,1,0,1,7,NA
1009,469,"1-10",1946,"Philippines","840","Government of Philippines",840,"","","Huk","","government","",2,"internal",0,"political organization","Huk",0,0,"Communist",NA,0,"explicit link","no",50000,50000,50000,"parity","yes","moderate","moderate","low","moderate","yes","Central Luzon","moderate","communist rebellion","no","no","no","","no",NA,"",NA,"military","USA","no","government victory",1,1,0,0,0,0,NA,0,"communist rebellion",2998,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,1990,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2999973297119,0,0.745177149772644,0.299600005149841,4,3,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,1,1,1,0,1,33,NA
1010,217,"1-10",1969,"Philippines","840","Government of Philippines",840,"","","CPP","","government","",1,"internal",0,"political organization","CPP",1,0,"Communist",NA,0,"explicit link","no",20000,6000,23000,"weaker","yes","moderate","moderate","low","low","yes","Remote regions of the Philippines","moderate","communist rebellion","no","no","no","","no",NA,"",NA,"military","USA","no",NA,0,1,0,0,0,0,NA,0,"communist rebellion",15461,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,-1.57760468651345,0.24861057223653,21.2999973297119,0,0.745177149772644,0.299600005149841,4,3,NA,1.52500036647957,34443.99,66413.43,1928.16,298260,2,0,NA,NA,NA,NA,0,1,1,1,0,1,33,NA
