numcode,ccode,year,gpro,poldis,ecdis
201,2,1946,0.1231,NA,NA
201,2,1947,0.1231,NA,NA
201,2,1948,0.1231,NA,NA
201,2,1949,0.1231,NA,NA
201,2,1950,0.1231,NA,NA
201,2,1951,0.1231,NA,NA
201,2,1952,0.1231,NA,NA
201,2,1953,0.1231,NA,NA
201,2,1954,0.1231,NA,NA
201,2,1955,0.1231,NA,NA
201,2,1956,0.1231,NA,NA
201,2,1957,0.1231,NA,NA
201,2,1958,0.1231,NA,NA
201,2,1959,0.1231,NA,NA
201,2,1960,0.1231,NA,NA
201,2,1961,0.1231,NA,NA
201,2,1962,0.1231,NA,NA
201,2,1963,0.1231,NA,NA
201,2,1964,0.1231,NA,NA
201,2,1965,0.1231,NA,NA
201,2,1966,0.1231,NA,NA
201,2,1967,0.1231,NA,NA
201,2,1968,0.1231,NA,NA
201,2,1969,0.1231,NA,NA
201,2,1970,0.1231,NA,NA
201,2,1971,0.1231,NA,NA
201,2,1972,0.1231,NA,NA
201,2,1973,0.1231,NA,NA
201,2,1974,0.1231,NA,NA
201,2,1975,0.1231,NA,NA
201,2,1976,0.1231,NA,NA
201,2,1977,0.1231,NA,NA
201,2,1978,0.1231,NA,NA
201,2,1979,0.1231,NA,NA
201,2,1980,0.1231,1,1
201,2,1981,0.1231,NA,NA
201,2,1982,0.1231,NA,NA
201,2,1983,0.1231,NA,NA
201,2,1984,0.1231,NA,NA
201,2,1985,0.1231,NA,NA
201,2,1986,0.1231,NA,NA
201,2,1987,0.1231,NA,NA
201,2,1988,0.1231,NA,NA
201,2,1989,0.1231,NA,NA
201,2,1990,0.1231,1,1
201,2,1991,0.12328,1,1
201,2,1992,0.12346,1,1
201,2,1993,0.12364,1,1
201,2,1994,0.12382,1,1
201,2,1995,0.124,1,1
201,2,1996,0.124,1,1
201,2,1997,0.124,1,1
201,2,1998,0.124,1,1
201,2,1999,0.12483333333333334,1,1
201,2,2000,0.12566666666666668,1,1
201,2,2001,0.1265,1,1
201,2,2002,0.12733333333333333,1,1
201,2,2003,0.12816666666666668,1,1
201,2,2004,0.129,1,1
201,2,2005,0.129,1,1
201,2,2006,0.129,1,1
202,2,1946,0.084,NA,NA
202,2,1947,0.084,NA,NA
202,2,1948,0.084,NA,NA
202,2,1949,0.084,NA,NA
202,2,1950,0.084,NA,NA
202,2,1951,0.084,NA,NA
202,2,1952,0.084,NA,NA
202,2,1953,0.084,NA,NA
202,2,1954,0.084,NA,NA
202,2,1955,0.084,NA,NA
202,2,1956,0.084,NA,NA
202,2,1957,0.084,NA,NA
202,2,1958,0.084,NA,NA
202,2,1959,0.084,NA,NA
202,2,1960,0.084,NA,NA
202,2,1961,0.084,NA,NA
202,2,1962,0.084,NA,NA
202,2,1963,0.084,NA,NA
202,2,1964,0.084,NA,NA
202,2,1965,0.084,NA,NA
202,2,1966,0.084,NA,NA
202,2,1967,0.084,NA,NA
202,2,1968,0.084,NA,NA
202,2,1969,0.084,NA,NA
202,2,1970,0.084,NA,NA
202,2,1971,0.084,NA,NA
202,2,1972,0.084,NA,NA
202,2,1973,0.084,NA,NA
202,2,1974,0.084,NA,NA
202,2,1975,0.084,NA,NA
202,2,1976,0.084,NA,NA
202,2,1977,0.084,NA,NA
202,2,1978,0.084,NA,NA
202,2,1979,0.084,NA,NA
202,2,1980,0.084,1,2
202,2,1981,0.084,NA,NA
202,2,1982,0.084,NA,NA
202,2,1983,0.084,NA,NA
202,2,1984,0.084,NA,NA
202,2,1985,0.084,NA,NA
202,2,1986,0.084,NA,NA
202,2,1987,0.084,NA,NA
202,2,1988,0.084,NA,NA
202,2,1989,0.084,NA,NA
202,2,1990,0.084,1,2
202,2,1991,0.0872,1,2
202,2,1992,0.09040000000000001,1,2
202,2,1993,0.0936,1,2
202,2,1994,0.09680000000000001,1,2
202,2,1995,0.1,1,2
202,2,1996,0.1,1,2
202,2,1997,0.1,1,2
202,2,1998,0.1,1,2
202,2,1999,0.10833333333333334,1,2
202,2,2000,0.11666666666666667,1,1
202,2,2001,0.125,1,1
202,2,2002,0.13333333333333333,1,1
202,2,2003,0.14166666666666666,1,1
202,2,2004,0.15,1,1
202,2,2005,0.15,1,1
202,2,2006,0.15,1,1
203,2,1946,0.0066,NA,NA
203,2,1947,0.0066,NA,NA
203,2,1948,0.0066,NA,NA
203,2,1949,0.0066,NA,NA
203,2,1950,0.0066,NA,NA
203,2,1951,0.0066,NA,NA
203,2,1952,0.0066,NA,NA
203,2,1953,0.0066,NA,NA
203,2,1954,0.0066,NA,NA
203,2,1955,0.0066,NA,NA
203,2,1956,0.0066,NA,NA
203,2,1957,0.0066,NA,NA
203,2,1958,0.0066,NA,NA
203,2,1959,0.0066,NA,NA
203,2,1960,0.0066,NA,NA
203,2,1961,0.0066,NA,NA
