"SideBID","Year","DyadId","ConflictId","Location","GWNoLoc","SideA","GWNoA","SideA2nd","GWNoA2nd","SideB","SideB2nd","Incompatibility","TerritoryName","IntensityLevel","TypeOfConflict","rebel_age","origin","origin.name","parent.org.subset","splinter.source","ideology","delete","extraterritorial","rebpolwing","rebpolwinglegal","rebestimate","rebestlow","rebesthigh","rebstrength","centcontrol","strengthcent","mobcap","armsproc","fightcap","terrcont","terrname","effterrcont","conflicttype","transconstsupp","rebextpart","rebpresosts","presname","rebel.support","rtypesup","rsupname","gov.support","gtypesup","gsupname","govextpart","type.of.termination","prevactive","rebpolwing_bin","transconstsupp_bin","rebextpart_bin","rebpresosts_bin","rebel.support_bin","gov.support_bin","govextpart_bin","conflicttype_recode","duration","tot_eth","tot_eth_countries","eth_claim","eth_recruitment","eth_support","excluded","power_sharing","absolute","reg_aut","upgrade","downgrade","maxsize","minsize","conflicts","location","splinter.name","death","death.year","start","time","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","additive","latentmean","latentsd","latentmean_lag","latentmean_lag2","latentmean_diff","latentmean_diff2","mtnest","Oil","ethfrac","relfrac","polity2","pop","realgdp","rgdppc","area","loot.dia","loot.gem","loot.gold","loot.oil","loot.drugs","lootable","tot.resource.sites","time1","stronger","multieth"
1389,1992,1,"1-191","Algeria","615","Government of Algeria",615,"","","AIS","","government","",1,"internal",0,"political organization","AIS",0,0,"Islamic State",NA,0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1992,0,2,0,0,0,4,4,3,NA,0,NA,NA,NA,0,2,-1.07701796838515,0.208832767684299,NA,NA,NA,NA,15.6999998092651,1,0.435273408889771,0.0198000073432922,-7,26254,115831.48,4411.96,2381740,1,0,1,1,0,1,18,1,0,0
1389,1993,1,"1-191","Algeria","615","Government of Algeria",615,"","","AIS","","government","",1,"internal",1,"political organization","AIS",0,0,"Islamic State",NA,0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1992,1,2,0,0,0,4,5,5,NA,0,NA,NA,NA,0,2,-1.43936972480984,0.220251973855713,-1.07701796838515,NA,-0.36235175642469,NA,15.6999998092651,1,0.435273408889771,0.0198000073432922,-7,26894,99965.8,3717.03,2381740,1,0,1,1,0,1,18,2,0,0
1389,1994,1,"1-191","Algeria","615","Government of Algeria",615,"","","AIS","","government","",2,"internal",2,"political organization","AIS",0,0,"Islamic State",NA,0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1992,2,2,0,0,0,5,5,5,NA,0,NA,NA,NA,0,2,-1.6660063140071,0.227954330819252,-1.43936972480984,-1.07701796838515,-0.22663658919726,-0.36235175642469,15.6999998092651,1,0.435273408889771,0.0198000073432922,-7,27496,99083.31,3603.55,2381740,1,0,1,1,0,1,18,3,0,0
1389,1995,1,"1-191","Algeria","615","Government of Algeria",615,"","","AIS","","government","",1,"internal",3,"political organization","AIS",0,0,"Islamic State",NA,0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1992,3,0,0,0,0,5,5,5,6,0,NA,NA,NA,0,0,-1.81098646832313,0.229428976896281,-1.6660063140071,-1.43936972480984,-0.14498015431603,-0.22663658919726,15.6999998092651,1,0.435273408889771,0.0198000073432922,-3,28060,102940.77,3668.59,2381740,1,0,1,1,0,1,18,4,0,0
1389,1996,1,"1-191","Algeria","615","Government of Algeria",615,"","","AIS","","government","",1,"internal",4,"political organization","AIS",0,0,"Islamic State",NA,0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1992,4,1,1,1,0,5,5,5,5,0,NA,NA,NA,0,3,-1.7215541942125,0.223199990244922,-1.81098646832313,-1.6660063140071,0.0894322741106299,-0.14498015431603,15.6999998092651,1,0.435273408889771,0.0198000073432922,-3,28566,106813.17,3739.17,2381740,1,0,1,1,0,1,18,5,0,0
1389,1997,1,"1-191","Algeria","615","Government of Algeria",615,"","","AIS","","government","",1,"internal",5,"political organization","AIS",0,0,"Islamic State",NA,0,"explicit link","yes",12500,10000,15000,"weaker","yes","moderate","high","low","low","no",NA,NA,"civil war","explicit","alleged","some","Morocco","alleged","military","Iran; Sudan",NA,"military","France; Egypt; Tunisia; Morocco","no","peace agreement",0,1,1,1,1,1,NA,0,"civil war",1765,1,1,0,1,1,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1992,5,0,0,0,0,5,5,5,5,0,NA,NA,NA,0,0,-1.77221259474856,0.227056592632754,-1.7215541942125,-1.81098646832313,-0.05065840053606,0.0894322741106299,15.6999998092651,1,0.435273408889771,0.0198000073432922,-3,29050,108019.91,3718.41,2381740,1,0,1,1,0,1,18,6,0,0
1388,1991,2,"1-191","Algeria","615","Government of Algeria",615,"","","Takfir wa'l Hijra","","government","",1,"internal",0,"religious organization","",0,0,"Islamic State",NA,0,"no",NA,NA,NA,NA,"much weaker",NA,NA,"moderate","low","low","no",NA,NA,"civil war","tacit","no","no","","no",NA,"","no",NA,"","no","low activity",0,0,1,0,0,0,0,0,"civil war",376,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1991,0,1,2,0,1,3,3,3,NA,0,NA,NA,NA,0,4,-0.588629693570438,0.20334764466263,NA,NA,NA,NA,15.6999998092651,1,0.435273408889771,0.0198000073432922,-2,25680,113340.69,4413.58,2381740,1,0,1,1,0,1,18,1,0,0
1390,1993,3,"1-191","Algeria","615","Government of Algeria",615,"","","GIA","","government","",1,"internal",0,"alliance","",0,1,"Islamic State",NA,0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1993,0,2,0,0,0,4,5,5,NA,0,NA,NA,NA,0,2,-1.43936972480984,0.220251973855713,NA,NA,NA,NA,15.6999998092651,1,0.435273408889771,0.0198000073432922,-7,26894,99965.8,3717.03,2381740,1,0,1,1,0,1,18,1,0,0
1390,1994,3,"1-191","Algeria","615","Government of Algeria",615,"","","GIA","","government","",1,"internal",1,"alliance","",0,1,"Islamic State",NA,0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1993,1,2,0,0,0,5,5,5,NA,0,NA,NA,NA,0,2,-1.6660063140071,0.227954330819252,-1.43936972480984,NA,-0.22663658919726,NA,15.6999998092651,1,0.435273408889771,0.0198000073432922,-7,27496,99083.31,3603.55,2381740,1,0,1,1,0,1,18,2,0,0
1390,1995,3,"1-191","Algeria","615","Government of Algeria",615,"","","GIA","","government","",2,"internal",2,"alliance","",0,1,"Islamic State",NA,0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,1,NA,NA,0,NA,1993,2,0,0,0,0,5,5,5,6,0,NA,NA,NA,0,0,-1.81098646832313,0.229428976896281,-1.6660063140071,-1.43936972480984,-0.14498015431603,-0.22663658919726,15.6999998092651,1,0.435273408889771,0.0198000073432922,-3,28060,102940.77,3668.59,2381740,1,0,1,1,0,1,18,3,0,0
